Time,SensorType,Value1,Value2,Value3,Latitude,Longitude,Pothole
2025-09-15T08:00:00Z,vibration,2.3,1.8,0.5,30.7411,76.7731,1
2025-09-15T08:05:00Z,vibration,3.1,2.4,0.8,30.7425,76.7745,2
2025-09-15T08:10:00Z,accelerometer,1.9,1.2,0.3,30.7439,76.7759,0
2025-09-15T08:15:00Z,vibration,4.2,3.1,1.2,30.7453,76.7773,3
2025-09-15T08:20:00Z,pressure,0.8,1.1,0.4,30.7467,76.7787,1
2025-09-15T08:25:00Z,vibration,2.7,2.0,0.6,30.7481,76.7801,1
2025-09-15T08:30:00Z,accelerometer,1.5,0.9,0.2,30.7495,76.7815,0
2025-09-15T08:35:00Z,vibration,3.8,2.9,1.0,30.7509,76.7829,2
2025-09-15T08:40:00Z,pressure,1.2,1.5,0.5,30.7523,76.7843,1
2025-09-15T08:45:00Z,vibration,4.5,3.4,1.4,30.7537,76.7857,4
2025-09-15T08:50:00Z,accelerometer,2.1,1.4,0.4,30.7551,76.7871,1
2025-09-15T08:55:00Z,vibration,3.3,2.5,0.9,30.7565,76.7885,2
2025-09-15T09:00:00Z,pressure,0.9,1.2,0.3,30.7579,76.7899,0
2025-09-15T09:05:00Z,vibration,2.5,1.9,0.7,30.7593,76.7913,1
2025-09-15T09:10:00Z,accelerometer,1.7,1.0,0.3,30.7607,76.7927,0
2025-09-15T09:15:00Z,vibration,4.0,3.0,1.1,30.7621,76.7941,3
2025-09-15T09:20:00Z,pressure,1.0,1.3,0.4,30.7635,76.7955,1
2025-09-15T09:25:00Z,vibration,3.5,2.7,0.8,30.7649,76.7969,2
2025-09-15T09:30:00Z,accelerometer,1.8,1.1,0.3,30.7663,76.7983,0
2025-09-15T09:35:00Z,vibration,4.3,3.2,1.3,30.7677,76.7997,3
2025-09-15T09:40:00Z,pressure,1.1,1.4,0.4,30.7691,76.8011,1
2025-09-15T09:45:00Z,vibration,2.8,2.1,0.6,30.7705,76.8025,1
2025-09-15T09:50:00Z,accelerometer,1.6,0.8,0.2,30.7719,76.8039,0
2025-09-15T09:55:00Z,vibration,3.9,2.8,1.0,30.7733,76.8053,2
2025-09-15T10:00:00Z,pressure,0.7,1.0,0.3,30.7747,76.8067,0
2025-09-15T10:05:00Z,vibration,4.1,3.0,1.2,30.7761,76.8081,3
2025-09-15T10:10:00Z,accelerometer,2.0,1.3,0.4,30.7775,76.8095,1
2025-09-15T10:15:00Z,vibration,3.2,2.3,0.8,30.7789,76.8109,2
2025-09-15T10:20:00Z,pressure,1.3,1.6,0.5,30.7803,76.8123,1
2025-09-15T10:25:00Z,vibration,4.4,3.3,1.3,30.7817,76.8137,4
2025-09-15T10:30:00Z,accelerometer,1.4,0.7,0.2,30.7831,76.8151,0
2025-09-15T10:35:00Z,vibration,2.9,2.2,0.7,30.7845,76.8165,1
2025-09-15T10:40:00Z,pressure,0.8,1.1,0.3,30.7859,76.8179,0
2025-09-15T10:45:00Z,vibration,3.7,2.6,0.9,30.7873,76.8193,2
2025-09-15T10:50:00Z,accelerometer,1.9,1.2,0.3,30.7887,76.8207,1
2025-09-15T10:55:00Z,vibration,4.2,3.1,1.2,30.7901,76.8221,3
2025-09-15T11:00:00Z,pressure,1.0,1.3,0.4,30.7915,76.8235,1
2025-09-15T11:05:00Z,vibration,3.0,2.4,0.8,30.7929,76.8249,2
2025-09-15T11:10:00Z,accelerometer,1.5,0.9,0.2,30.7943,76.8263,0
2025-09-15T11:15:00Z,vibration,4.0,2.9,1.1,30.7957,76.8277,3
2025-09-15T11:20:00Z,pressure,1.2,1.5,0.5,30.7971,76.8291,1
2025-09-15T11:25:00Z,vibration,3.4,2.5,0.8,30.7985,76.8305,2
2025-09-15T11:30:00Z,accelerometer,1.7,1.0,0.3,30.7999,76.8319,0
2025-09-15T11:35:00Z,vibration,4.3,3.2,1.3,30.8013,76.8333,4
